"","","2"
"V87","2016-01-01T00:00:00.000Z","2600.95036849832"
"V88","2016-02-01T00:00:00.000Z","2626.5572847838"
"V89","2016-03-01T00:00:00.000Z","2821.73933591896"
"V90","2016-04-01T00:00:00.000Z","2641.29146278869"
"V91","2016-05-01T00:00:00.000Z","2688.88465910529"
"V92","2016-06-01T00:00:00.000Z","2732.90617925939"
"V93","2016-07-01T00:00:00.000Z","2771.22511783039"
"V94","2016-08-01T00:00:00.000Z","2940.68743723757"
"V95","2016-09-01T00:00:00.000Z","2730.70813922715"
"V96","2016-10-01T00:00:00.000Z","2709.25125274558"
"V97","2016-11-01T00:00:00.000Z","2909.70626158978"
"V98","2016-12-01T00:00:00.000Z","3445.08497257797"
